
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020086                       # Number of seconds simulated (Second)
simTicks                                  20086345500                       # Number of ticks simulated (Tick)
finalTick                                 20086345500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    293.03                       # Real time elapsed on the host (Second)
hostTickRate                                 68546709                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     801392                       # Number of bytes of host memory used (Byte)
simInsts                                     21343836                       # Number of instructions simulated (Count)
simOps                                       39396425                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    72838                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     134444                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         40172692                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        51849742                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    19372                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       48078750                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  32565                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12472683                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          20343375                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               19354                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            38051595                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.263515                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.030297                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  23678910     62.23%     62.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3193726      8.39%     70.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2741714      7.21%     77.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2399803      6.31%     84.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2102530      5.53%     89.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1567271      4.12%     93.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1136068      2.99%     96.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    713280      1.87%     98.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    518293      1.36%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              38051595                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%      0.00% # attempts to use FU when none available (Count)
